"ENSEMBL","Symbol","LOG2FC","PVAL","ADJP"
"KCNK18","KCNK18","0.25822842216724","0.000255644057893879","0.999880957628728"
"COX7B2","COX7B2","0.30737745159373103","0.000688682493788806","0.999880957628728"
"MIR191","MIR191","0.23486576572239398","0.0017644927289595898","0.999880957628728"
"CNTNAP5","CNTNAP5","0.262165843965999","0.00253040336673295","0.999880957628728"
"B4GAT1","B4GAT1","-0.234151442267325","0.00258408054992385","0.999880957628728"
"PIH1D2","PIH1D2","-0.29262481641950605","0.00307175580770874","0.999880957628728"
"GCG","GCG","0.251064662832227","0.00337617257212025","0.999880957628728"
"PRMT6","PRMT6","-0.329205731695209","0.00345858863534891","0.999880957628728"
"WNT5A","WNT5A","0.209824928297441","0.00349238971973664","0.999880957628728"
"KRTAP13-2","KRTAP13-2","0.17893134018826","0.00356917890721224","0.999880957628728"
"CYP4Z2P","CYP4Z2P","-0.397382144706878","0.00366590282500005","0.999880957628728"
"ZNF248","ZNF248","-0.25209870719759503","0.00366711323502519","0.999880957628728"
"CST1","CST1","0.433440785637061","0.00432761141564783","0.999880957628728"
"CD1B","CD1B","0.346171107516048","0.0046664056541525","0.999880957628728"
"LINC01101","LINC01101","0.267719110340548","0.005019454950695871","0.999880957628728"
"RFESD","RFESD","-0.3096079585630169","0.00511204303122625","0.999880957628728"
"PCNA","PCNA","-0.246597826073922","0.0053404545838689295","0.999880957628728"
"MIR323A","MIR323A","0.30184845863108","0.0058743689352303","0.999880957628728"
"MMP26","MMP26","0.23439993460724695","0.00602110002909131","0.999880957628728"
"HTR2A","HTR2A","0.266905241530702","0.00604983843104253","0.999880957628728"
"MRPS23","MRPS23","-0.271155890465304","0.0063089510499495","0.999880957628728"
"LOC541472","LOC541472","0.271145068988216","0.00745729818287276","0.999880957628728"
"C1orf147","C1orf147","0.24650982057285","0.00750251924601295","0.999880957628728"
"NTAN1","NTAN1","-0.280572749283037","0.007563485992965","0.999880957628728"
"CCDC73","CCDC73","-0.263572225838514","0.007784165444234859","0.999880957628728"
"CILP","CILP","0.25431541883792697","0.00790834624543409","0.999880957628728"
"C17orf80","C17orf80","-0.231921967142793","0.00805462829788605","0.999880957628728"
"LINC00670","LINC00670","0.255243501805586","0.0081797007302274","0.999880957628728"
"UGT2A3","UGT2A3","0.375302457004841","0.00818469524412339","0.999880957628728"
"MRGPRE","MRGPRE","0.238013006711999","0.00828189897341177","0.999880957628728"
"KRTAP10-8","KRTAP10-8","0.222562550345405","0.00835960022020436","0.999880957628728"
"RTP2","RTP2","0.256778845235273","0.00839009364584677","0.999880957628728"
"CALCA","CALCA","0.272611427612738","0.00856362454484215","0.999880957628728"
"PRDM9","PRDM9","0.318673597970489","0.00860299994988671","0.999880957628728"
"NMNAT2","NMNAT2","0.260569565473824","0.00868532651178427","0.999880957628728"
"SNAP25","SNAP25","0.28415669732187","0.0089323375487777","0.999880957628728"
"OR8A1","OR8A1","0.284300647183944","0.00976355191558216","0.999880957628728"
"DUXAP9","DUXAP9","0.273188015934041","0.009821973051333609","0.999880957628728"
"CENPH","CENPH","-0.239952517358104","0.0101980026169829","0.999880957628728"
"DLX6","DLX6","0.22647187913661398","0.0102461653870827","0.999880957628728"
"SCOC-AS1","SCOC-AS1","0.228553746810936","0.0103175491238786","0.999880957628728"
"OR5AS1","OR5AS1","0.266624840517269","0.0103202691387905","0.999880957628728"
"SNORD115-34","SNORD115-34","0.25246871976734697","0.0107440327057088","0.999880957628728"
"OR5T3","OR5T3","-0.26385219171796104","0.0107892111527497","0.999880957628728"
"LINC02072","LINC02072","0.34512700379721806","0.0108614188773335","0.999880957628728"
"TRIM54","TRIM54","0.254521661814157","0.0110645021991621","0.999880957628728"
"ZFP82","ZFP82","-0.334335656584106","0.0112891851280567","0.999880957628728"
"CDC14C","CDC14C","0.372830124521418","0.0114000387171763","0.999880957628728"
"ESF1","ESF1","-0.24497106938254898","0.0118219978923171","0.999880957628728"
"EBI3","EBI3","0.192577872841666","0.0124106132262261","0.999880957628728"
"WNT2B","WNT2B","0.18668559050919897","0.012796812772219997","0.999880957628728"
"MED10","MED10","-0.204016008370802","0.0128669977339152","0.999880957628728"
"HIST2H2BE","HIST2H2BE","0.20956407549735398","0.0129654088129536","0.999880957628728"
"MIP","MIP","0.20883299081399304","0.0130202743308659","0.999880957628728"
"LECT2","LECT2","0.22447874966243397","0.0131671237345891","0.999880957628728"
"ADCYAP1R1","ADCYAP1R1","0.21811897030042302","0.013310275161225","0.999880957628728"
"LINC00308","LINC00308","0.198349762106792","0.0133191696198967","0.999880957628728"
