Vulva Cancer,Uterine Carcinosarcoma,Endometrial Carcinoma,Uterine Corpus Endometrial Carcinoma,Ovarian Cancer,Cervical Cancer
MAML2,TP53,PTEN,PTEN,TP53,TTN
SPTBN1,PIK3CA,TP53,PIK3CA,TTN,PIK3CA
SYNE1,FBXW7,PIK3CA,ARID1A,BRCA2,MUC4
TP53,PPP2R1A,ARID1A,TTN,,KMT2C
ODF1,PTEN,PIK3R1,TP53,,MUC16
NRG3,URB1,KRAS,PIK3R1,,KMT2D
FAT2,SPEG,KMT2B,CTNNB1,,SYNE1
CSMD1,LTBP2,CTNNB1,MUC16,,FLG
MAML3,CNTNAP2,INPPL1,CTCF,,DMD
PARD3B,TTN,DOCK3,CSMD3,,ADGRV1
ZBTB41,FRG1BP,ZFHX4,ZFHX3,,RYR2
AHNAK,FRYL,MUC16,KMT2D,,EP300
CACNA1B,SCARF2,HERC2,RYR2,,FBXW7
FAM193A,OTOG,CTCF,KRAS,,USH2A
APC,WDR6,SYNE1,MUC5B,,
DCHS1,DOP1B,CCDC168,OBSCN,,
ZNF518B,SHROOM2,SCAF4,FAT4,,
MDN1,BAZ1A,KMT2D,NEB,,
ANP32E,MBTPS1,RBM27,CHD4,,
CASP8,CAMTA1,RPL22,FAT1,,
ALMS1,POLR3B,PCLO,ZFHX4,,
F5,ABI3BP,ZFHX3,SYNE1,,
NLGN3,VPS13A,OBSCN,DMD,,
FAT1,TOPAZ1,LMAN1,FLG,,
SLC12A3,LIG3,HUWE1,ARHGAP35,,
ZFHX3,ADNP,ZNF469,USH2A,,
NRG1,ZFYVE26,AHNAK,TAF1,,
SCAF4,DCAF12L2,FBXW7,KMT2B,,
LAMA5,DNAH6,DNAH17,FBXW7,,
KMT2C,DCAF12L1,MUC5B,FAT3,,
CREBBP,DOCK3,ZDBF2,DNAH5,,
SHROOM3,HERC4,WDR87,RYR3,,
ZNF385B,ANKRD17,FSIP2,DNAH10,,
AMOTL2,THOC2,DYSF,PCLO,,
KMT2B,ULK4,CSMD3,MDN1,,
KRTAP10-10,TBL3,TECTA,RYR1,,
ITGAE,SRPK1,USH2A,ANK3,,
NLRP3,STARD9,DNAH10,LRP2,,
CDH23,CFH,ABCA12,ABCA13,,
WRAP53,ADGRF4,MAP3K4,DNAH7,,
SPTB,KCNG4,SACS,ATM,,
ITIH3,MYH15,FAT2,LRP1B,,
CACNA1G,GALNT15,FLNA,AHNAK2,,
PNLIPRP2,RBL1,FLG,CACNA1E,,
ITPRID2,KSR2,ADGRG4,KMT2C,,
MUC4,ARHGEF10,SZT2,DST,,
OBSCN,ELAPOR2,TENM1,TENM1,,
ADGRV1,TLN1,LIMCH1,HMCN1,,
DST,PCDHGA8,HMCN1,DNAH11,,
ZNF75D,ARID1A,AHNAK2,HUWE1,,
BRCA2,CHD4,USP9X,LAMA2,,
WDFY4,MT-CO1,TENM3,MACF1,,
LRP1B,MT-ND5,PHF2,APOB,,
CFAP47,KRAS,PLEC,NBEA,,
KALRN,MT-CYB,LRP2,UBR4,,
ERICH2,FLNB,SPTA1,HERC2,,
NUP188,FLNC,TAF1,BCOR,,
SVEP1,FMO3,PTPRZ1,MUC17,,
MED24,IREB2,PPP2R1A,CSMD1,,
TRIO,CDH12,MYCBP2,DNAH9,,
TRIOBP,ATP13A3,CHD3,CSMD2,,
PABPC3,ITGA5,STAB1,PCDH15,,
MYO16,CENPF,MED12L,SPTA1,,
MEGF10,STRIP1,COL6A3,MKI67,,
PDZD2,EMILIN1,UBR4,FAT2,,
RAB35,CCDC112,DNAH5,DNAH8,,
ANK3,QRICH2,DNAH8,AHNAK,,
ADAP1,ZEB2,PAPPA2,DNAH2,,
AZIN1,SH2D7,NES,PPP2R1A,,
AASS,WWP2,SEC31A,HERC1,,
EIF2AK3,FNBP1,STARD9,LRP1,,
TTN,SMG1,SRCAP,MED12,,
PCNX2,CEP350,RNF213,MUC4,,
GPATCH3,SEC24D,NRXN1,FGFR2,,
IGFN1,TOPBP1,ZNF536,ZNF292,,
ZCWPW1,ALOX12B,DNAH3,AKAP9,,
EXOC4,DDX52,RP1,NSD1,,
NANOGNB,CASK,ASTN1,ADGRV1,,
KLHL13,TSC2,FAT3,ADGRG4,,
ITPR1,STON1,RYR3,SACS,,
SEMA5A,JAK1,CACNA1A,ASPM,,
CSRNP3,ARHGEF4,CACNA1B,DCHS1,,
PARP10,KCND1,CACNA1F,CHD3,,
PLB1,NUP210L,DCHS2,MGA,,
MYEOV,PTPN21,PXDN,SYNE2,,
FRMD4A,CCDC63,PKHD1,CEP290,,
CHD3,MYO18A,ZBTB20,ARID5B,,
CHD4,KCNF1,SVIL,DNAH3,,
PRUNE2,TMC4,PRKDC,PRKDC,,
HECTD4,MAP7D3,MYO3A,USP9X,,
MYO9B,KCNJ12,NEB,TG,,
TOGARAM2,NLRX1,JAK1,POLE,,
MYO7A,KCNJ16,ADGRV1,SZT2,,
MYO9A,CARMIL1,CHD4,DYNC1H1,,
ADI1,PPP1R9A,KCNQ3,TRRAP,,
C6,NCAPD2,CEP295,UTRN,,
AP4B1,KIF15,IGSF10,FLNA,,
AXDND1,ADAMTS9,COL5A1,XIRP2,,
KLHL6,ATXN10,LAMA2,HECTD4,,
KIAA1109,THRAP3,COL12A1,DYNC2H1,,
EPHA1,PKP3,MUC17,SI,,
EMSY,LPIN1,XIRP2,EYS,,
EPHB6,ACACB,ARHGAP35,SMG1,,
ZC3H18,PLXND1,DMD,BIRC6,,
PIPOX,CEP295,ABCA13,APC,,
ERCC1,DISP2,DPP6,PKHD1L1,,
TTC32,RNASEL,SAMD9L,KIAA1109,,
AKAP13,ATG2A,DLGAP2,NIPBL,,
TANGO6,ACVR2A,CRACD,DNAH17,,
ZNF814,NPHP4,DNAH7,DNHD1,,
MCFD2,KRT10,PDZD4,DNAH1,,
AHNAK2,PSME4,CHD9,RNF213,,
PDE4A,MTHFD1L,ATAD2,FCGBP,,
XIRP2,GABRA5,CSMD2,BRCA2,,
NCOA1,VWA5B2,CELSR1,NAV2,,
CCDC110,COL6A1,FMN2,ABCA12,,
ABCA3,SASH1,PLXNA3,COL11A1,,
ABCA4,TBC1D30,TRANK1,DSCAM,,
SLC4A4,ZNF648,ANK1,ATRX,,
BECN1,CEP72,ANK3,LRRK2,,
ZFR,ZFP64,APOB,VPS13B,,
LRCH1,SIN3B,DCHS1,WDFY3,,
WDHD1,SERPINB7,COL18A1,TENM3,,
CAMSAP1,GPBAR1,CPLANE1,FAM135B,,
JRKL,ABCC3,WNK4,TENM4,,
GRIN2B,RBM27,ASXL3,FN1,,
USH2A,TSGA10,RYR2,DOCK3,,
CUL9,EXOC2,DST,PKHD1,,
DGKA,VAV1,CACNA1C,MYO3A,,
ROBO1,ZNF521,CACNA1D,LYST,,
PLEKHF1,XIRP1,ZMYM2,MYO18B,,
CCDC170,THSD7B,PRDM2,CNTNAP5,,
TRRAP,ATP1A1,ESRP1,SVEP1,,
SORCS1,DENND2C,PLXNA1,FBN2,,
KRT1,MGA,MAP4,MYCBP2,,
BCL11B,CAMSAP2,CSMD1,CUBN,,
SCAF11,ZNF541,MYO15A,RPL22,,
G6PD,ASTN2,LRRK2,PXDN,,
TRAPPC8,PLEKHG4,ZNF800,NAV3,,
ZFHX4,PLCB1,BCOR,NFASC,,
KCNK12,SEL1L3,CDH7,DCC,,
GABRA6,LRR1,MYT1L,EP400,,
NEURL1B,GATM,ZNF292,TRIO,,
ZNF418,SBK2,WDFY3,KALRN,,
NEFH,SLC16A9,IQSEC2,HYDIN,,
CSMD3,PCDH18,ZC3H13,CMYA5,,
CNTN1,WWC3,DIDO1,VPS13A,,
COL6A1,LRIT2,SETD1B,WDR87,,
PCDH10,ASH1L,HECW1,VPS13D,,
UBR5,ALDH1A2,LYST,USP34,,
CAVIN4,ZNF18,ZNF831,IGF2R,,
NLRP14,ZNF182,NIPBL,DSP,,
OR4C6,SIK3,HELZ2,WDFY4,,
OR5AS1,PTPRU,TNRC6B,CACNA1D,,
SIN3A,ZDHHC17,NFASC,DCHS2,,
SSH1,BDP1,ACVR2A,RANBP2,,
HDAC1,SAG,MDN1,COL6A3,,
HTT,SALL1,DNAH14,VCAN,,
NPAP1,SUN1,KANSL1,DMXL1,,
ATAD2B,ASB7,NCAPD3,SETD2,,
ADAM21,U2SURP,SYNE2,ASH1L,,
ADAM18,SLC9B2,VPS13A,BRWD3,,
NAA80,EMILIN3,COL11A1,ALMS1,,
MUC16,TAMM41,CTNNA2,RELN,,
EOMES,HSPA12A,SPEG,REV3L,,
PIK3CA,OR6B1,ZNF559,EP300,,
LOXL3,HUS1B,DIAPH2,MTOR,,
KATNIP,CACNG5,TACC2,THOC2,,
DDHD2,CCN2,DDX59,FRAS1,,
SIDT1,VPS41,DSP,PDE4DIP,,
HACD1,CTNNB1,MEGF8,PPFIA2,,
BMT2,CACNA1G,CELSR3,STAB2,,
SYNE2,STAM2,PCDHA1,CEP350,,
C9ORF64,LVRN,ASCC3,PLXNA4,,
TG,MYRFL,CUBN,PKD1L1,,
VPS13A,BLMH,BAHCC1,LAMA1,,
PCDHA13,BMPR1B,WDFY4,ITPR1,,
TBC1D19,MSLN,KIF26B,COL5A1,,
FBXW7,LRRN3,STXBP5L,DMXL2,,
PCDHA1,JADE1,KIF20B,MED13L,,
KRBA1,BTK,SHPRH,DNAH6,,
NUMBL,SCNN1G,TMEM132B,SCAF4,,
SLC9C2,SCNN1B,RAPGEF2,MGAM,,
AGRN,P2RY4,CDC42BPA,BCORL1,,
CDK12,NUTM1,TP53BP1,F8,,
ADAM32,MEGF10,TP53BP2,DNAH14,,
OR5P3,PAX1,CEP350,CUX1,,
CSGALNACT2,MAMDC2,ANK2,ZNF462,,
NOTCH1,MAP10,IGFN1,SRCAP,,
FBN1,C6,DYNC2H1,DOCK11,,
DCANP1,NEXMIF,KIF21A,ANK2,,
CKAP4,HYDIN,CADPS,BSN,,
DNAJC21,ZNF202,FAT4,INPPL1,,
CACHD1,CACNB1,RLF,FLNB,,
MSI1,TMEFF2,DNAH2,ITPR2,,
OOSP2,PRSS38,PCDH15,MXRA5,,
PTPN14,ZNF236,HERC1,UNC80,,
PCDH18,ITSN1,MGAM,TPR,,
CCDC93,RABGAP1,HYDIN,CHD7,,
EFHB,SIPA1,SHC1,ATR,,
ASXL3,SKIL,KCNH5,CDH23,,
NRP2,APC2,CFAP65,UTP20,,
PLEC,GRIN2D,CNTN6,PTPRD,,
TSC22D1,MARCHF6,PKD1,NF1,,
ZFPM2,GRIN2B,MAP1A,MYO16,,
USP36,DGKG,ZNF729,DICER1,,
TASOR2,SMC1B,TAF4,GOLGB1,,
ARHGAP32,NYX,MAP3K9,AKAP6,,
ADAMTSL3,DAPK1,UBR5,MYOM1,,
OR51E1,BRINP1,EYS,SCN9A,,
HSCB,GUCY2F,NEO1,CACNA1C,,
EPPK1,MCM8,FBN2,CNTN6,,
RNF144A,WDR81,PIEZO2,HTT,,
VGLL1,CNTLN,KMT2C,FBN1,,
FMN1,CRB2,FAT1,UNC13C,,
CRTC1,PGK1,,CHD6,,
TRIP10,OLFM1,,CUL9,,
MUC17,PHEX,,ICE1,,
TMEM132A,KCNIP1,,KIAA1217,,
DTNA,CARD6,,TRPM3,,
TP53BP1,CNNM2,,ANKRD30A,,
SH2D3A,POM121L2,,PCNT,,
HOOK3,PIK3C2B,,GIGYF2,,
RNF20,GATAD2A,,SVIL,,
CNTNAP2,PIK3R2,,ANKRD30B,,
TRAF5,FREM3,,PTPRB,,
SPATA16,PIK3CD,,MYH1,,
ARSG,LRRC49,,MYO9A,,
WDR87,HTRA3,,LAMA3,,
RPS6KA6,ST6GAL2,,CREBBP,,
PILRB,EHD3,,SYCP2,,
IMPDH2,TRPM5,,CACNA1F,,
INHBA,AGBL3,,LRBA,,
,CD22,,MAP3K1,,
,HACL1,,SETX,,
,PLAGL1,,FRY,,
,SOS2,,SLITRK3,,
,PLAT,,TAF1L,,
,ZNF300,,RIMS2,,
,PLCG2,,DOCK10,,
,PLD1,,ASXL3,,
,GRIN3A,,CNTNAP2,,
,LRCH4,,PPP1R3A,,
,OLFM4,,KMT2A,,
,TASOR2,,MYO10,,
,SLC26A8,,FLNC,,
,APH1B,,ACACB,,
,ASB15,,PIKFYVE,,
,CCDC106,,SRRM2,,
,BCO1,,FBN3,,
,ANKK1,,SPEG,,
,DYRK1A,,FNDC1,,
,EDA,,TENM2,,
,ZNF577,,UNC79,,
,LAX1,,TSHZ3,,
,PDLIM5,,TRPM6,,
,SPTBN2,,VWF,,
,INTS1,,ZAN,,
,MASTL,,SCN10A,,
,NOM1,,BAZ2B,,
,AURKC,,SPTBN2,,
,MAP6,,RBBP6,,
,PPEF1,,MYH7,,
,MTG2,,CDH10,,
,ARSI,,CIT,,
,PARP10,,CNOT1,,
,AGBL4,,ZC3H13,,
,SPAG9,,CFAP47,,
,PSTPIP2,,ROBO1,,
,PHTF1,,PXDNL,,
,SUPV3L1,,PLCE1,,
,PCDHGA7,,RB1,,
,PLEKHG5,,NRK,,
,GASK1A,,LCT,,
,MAP3K7,,GLI3,,
,CCDC85C,,MEGF8,,
,MKLN1,,SIPA1L2,,
,C16ORF91,,CHD8,,
,ANO5,,KIF26B,,
,KCNG2,,ROS1,,
,GJA9,,SDK1,,
,RASSF9,,FREM2,,
,ANKRD26,,PLEC,,
,RPTOR,,PLXNA2,,
,NLGN2,,F5,,
,TRMT5,,CENPF,,
,TUBGCP2,,JAK1,,
,ALDH1L1,,HIVEP3,,
,ZSWIM9,,DOCK1,,
,OR52E8,,ATP10A,,
,CSNK1G1,,SAMD9L,,
,PRDM6,,GPR158,,
,PAPLN,,PCDHA12,,
,HACD1,,FSIP2,,
,CRNKL1,,BRWD1,,
,PCDHB4,,ANKRD11,,
,AMIGO1,,CACNA1B,,
,PLEKHH1,,FREM1,,
,NWD2,,ABCB1,,
,CCR9,,VPS13C,,
,TTC39A,,SPTAN1,,
,DIP2C,,NAV1,,
,SNX20,,UBR5,,
,HK3,,HIVEP1,,
,RAB3GAP1,,SPEN,,
,ZSWIM6,,VWA8,,
,CCDC40,,AKAP13,,
,HNRNPH2,,GTF3C1,,
,SHROOM3,,DOCK2,,
,FGD2,,NID2,,
,IFIT1B,,ALPK2,,
,SAMD15,,KIF20B,,
,PDZD4,,TET1,,
,HMCN2,,SCN1A,,
,NRXN3,,RNF43,,
,SLC22A14,,CHD5,,
,SEZ6L2,,MYO15A,,
,HOXA5,,HIVEP2,,
,SLC5A10,,MYO7A,,
,NCKAP5L,,CELSR3,,
,WDFY4,,CHL1,,
,KIAA1614,,POLQ,,
,PPP4R4,,CCDC168,,
,RECQL5,,ASCC3,,
,ZNF264,,TRANK1,,
,MED23,,PCDH9,,
,SRRT,,COL22A1,,
,PCNX2,,PTPRZ1,,
,SNX19,,NALCN,,
,EFCAB6,,DYSF,,
,KDM5A,,TIAM1,,
,CKAP2,,RGPD3,,
,RASA2,,SAMD9,,
,GAB3,,SPTBN5,,
,USP40,,RASA1,,
,HSPA1L,,MYH10,,
,ABHD16B,,HSPG2,,
,THNSL2,,,,
,EPHA7,,,,
,EPS8,,,,
,MAGED1,,,,
,CCSER1,,,,
,RFX6,,,,
,SYN3,,,,
,AK9,,,,
,KLHL34,,,,
,ENTPD4,,,,
,BAIAP2L2,,,,
,GPRIN1,,,,
,EPC1,,,,
,NFKB1,,,,
,EVPL,,,,
,MYOCD,,,,
,NCOR1,,,,
,SLC29A3,,,,
,NUP155,,,,
,ZNF318,,,,
,RGS6,,,,
,SLFN5,,,,
,GREB1,,,,
,ZNRF4,,,,
,ICAM5,,,,
,TBC1D31,,,,
,TLE3,,,,
,NID1,,,,
,ARID4B,,,,
,NOTCH2,,,,
,NPAT,,,,
,NPY1R,,,,
,C6ORF15,,,,
,ADAMTS10,,,,
,EFHB,,,,
,DHX34,,,,
,ST18,,,,
,YOD1,,,,
,ADCY1,,,,
,IFT140,,,,
,RAPGEF5,,,,
,TNFAIP2,,,,
,KIAA0586,,,,
,TNR,,,,
,AGL,,,,
,NXPE2,,,,
,DDX53,,,,
,TPP2,,,,
,MT-ND4,,,,
,FLNA,,,,
,LRP1B,,,,
,KMT2D,,,,
,MUC4,,,,
,AHNAK,,,,
,SYNE1,,,,
,MGAM,,,,
,ARHGAP35,,,,
,MUC16,,,,
,PIK3R1,,,,
,LRP2,,,,
,VPS13B,,,,
,ZBTB7B,,,,
,DOP1A,,,,
,PXDNL,,,,
,PLEC,,,,
,RB1,,,,
